transaction_id,amount,payment_method,failure_reason,previous_attempts,recovery_probability,recommended_action,diagnosis,decision_reason,recovered,recovered_amount,simulation_note
TXN100000,5742.57,UPI,upi_timeout,2,0.446,MESSAGE,Temporary UPI/network timeout. A delayed retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100001,14270.52,Card,card_declined,0,0.59,MESSAGE,Card issuer declined the transaction. Customer may need to use another payment method.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100002,11033.24,NetBanking,upi_timeout,1,0.771,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100003,9059.74,Card,authentication_failed,1,0.2,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100004,2508.23,NetBanking,insufficient_funds,0,0.285,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,1,2508.23,Synthetic outcome; no real payment was processed.
TXN100005,2507.87,Card,authentication_failed,0,0.155,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100006,1058.7,Card,insufficient_funds,1,0.651,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,1,1058.7,Synthetic outcome; no real payment was processed.
TXN100007,13019.27,NetBanking,bank_timeout,1,0.372,MESSAGE,Temporary bank-side timeout. A controlled retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100008,9096.1,UPI,network_error,0,0.732,RETRY,Temporary network issue. A controlled retry is appropriate.,Temporary technical failure with a strong recovery probability.,1,9096.1,Synthetic outcome; no real payment was processed.
TXN100009,10679.18,Card,authentication_failed,1,0.075,MESSAGE,Authentication failed. Customer action is required before another attempt.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100010,503.67,UPI,upi_timeout,0,0.778,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,503.67,Synthetic outcome; no real payment was processed.
TXN100011,14554.64,Wallet,bank_timeout,1,0.286,STOP,Temporary bank-side timeout. A controlled retry may recover the payment.,"Recovery probability is low, so another automated attempt is not justified.",0,0.0,Synthetic outcome; no real payment was processed.
TXN100012,12519.98,Wallet,network_error,0,0.559,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100013,3341.83,UPI,upi_timeout,2,0.496,MESSAGE,Temporary UPI/network timeout. A delayed retry may recover the payment.,Recovery probability is moderate; customer intervention is safer.,1,3341.83,Synthetic outcome; no real payment was processed.
TXN100014,2890.19,Card,card_declined,0,0.593,MESSAGE,Card issuer declined the transaction. Customer may need to use another payment method.,Recovery probability is moderate; customer intervention is safer.,1,2890.19,Synthetic outcome; no real payment was processed.
TXN100015,2913.57,Wallet,upi_timeout,0,0.736,RETRY,Temporary UPI/network timeout. A delayed retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,2913.57,Synthetic outcome; no real payment was processed.
TXN100016,4702.09,UPI,insufficient_funds,0,0.538,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100017,7965.92,Card,insufficient_funds,0,0.147,MESSAGE,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,Customer action is required before another payment attempt.,0,0.0,Synthetic outcome; no real payment was processed.
TXN100018,6592.22,Wallet,card_declined,1,0.716,RETRY,Card issuer declined the transaction. Customer may need to use another payment method.,Temporary technical failure with a strong recovery probability.,1,6592.22,Synthetic outcome; no real payment was processed.
TXN100019,4509.48,UPI,bank_timeout,0,0.873,RETRY,Temporary bank-side timeout. A controlled retry may recover the payment.,Temporary technical failure with a strong recovery probability.,1,4509.48,Synthetic outcome; no real payment was processed.
TXN100020,9255.03,Card,network_error,2,0.51,MESSAGE,Temporary network issue. A controlled retry is appropriate.,Recovery probability is moderate; customer intervention is safer.,0,0.0,Synthetic outcome; no real payment was processed.
