timestamp,transaction_id,recovery_probability,diagnosis,recommended_action,decision_reason,previous_attempts,outcome,recovered_amount
2026-09-04T17:50:00,TXN100000,0.446,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Recovered,5742.57
2026-09-04T17:50:00,TXN100001,0.59,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100002,0.771,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100003,0.2,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100004,0.285,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Recovered,2508.23
2026-09-04T17:50:00,TXN100005,0.155,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100006,0.651,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Recovered,1058.7
2026-09-04T17:50:00,TXN100007,0.372,Temporary bank-side timeout. A controlled retry may recover the payment.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100008,0.732,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,9096.1
2026-09-04T17:50:00,TXN100009,0.075,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100010,0.778,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,503.67
2026-09-04T17:50:00,TXN100011,0.286,Temporary bank-side timeout. A controlled retry may recover the payment.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100012,0.559,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100013,0.496,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Recovered,3341.83
2026-09-04T17:50:00,TXN100014,0.593,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100015,0.736,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,2913.57
2026-09-04T17:50:00,TXN100016,0.538,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100017,0.147,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100018,0.716,Card issuer declined the transaction. Customer may need to use another payment method.,MESSAGE,Customer should retry using the same or another payment method.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100019,0.873,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,4509.48
2026-09-04T17:50:00,TXN100020,0.51,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Not recovered,0.0
2026-09-04T17:50:00,TXN100021,0.702,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,2263.65
2026-09-04T17:50:00,TXN100022,0.22,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100023,0.938,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,5621.52
2026-09-04T17:50:00,TXN100024,0.329,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100025,0.158,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100026,0.179,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:00,TXN100027,0.458,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100028,0.782,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,8967.33
2026-09-04T17:50:00,TXN100029,0.835,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,886.51
2026-09-04T17:50:00,TXN100030,0.619,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100031,0.381,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Recovered,2722.93
2026-09-04T17:50:00,TXN100032,0.783,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,1161.83
2026-09-04T17:50:00,TXN100033,0.049,Authentication failed. Customer action is required before another attempt.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:00,TXN100034,0.557,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100035,0.753,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:00,TXN100036,0.199,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100037,0.393,Temporary network issue. A controlled retry is appropriate.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,2,Recovered,1644.64
2026-09-04T17:50:01,TXN100038,0.178,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100039,0.852,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Recovered,6713.7
2026-09-04T17:50:01,TXN100040,0.636,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:01,TXN100041,0.117,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100042,0.503,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,707.98
2026-09-04T17:50:01,TXN100043,0.475,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100044,0.312,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100045,0.15,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100046,0.829,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,4812.64
2026-09-04T17:50:01,TXN100047,0.77,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,7896.53
2026-09-04T17:50:01,TXN100048,0.373,Temporary UPI/network timeout. A delayed retry may recover the payment.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100049,0.677,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Recovered,2935.03
2026-09-04T17:50:01,TXN100050,0.713,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100051,0.872,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100052,0.678,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100053,0.037,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100054,0.397,Temporary network issue. A controlled retry is appropriate.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100055,0.427,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100056,0.086,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:01,TXN100057,0.514,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Recovered,3099.74
2026-09-04T17:50:01,TXN100058,0.163,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Recovered,868.41
2026-09-04T17:50:01,TXN100059,0.342,Temporary bank-side timeout. A controlled retry may recover the payment.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,2,Recovered,5014.21
2026-09-04T17:50:01,TXN100060,0.632,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Recovered,5951.81
2026-09-04T17:50:01,TXN100061,0.308,Temporary network issue. A controlled retry is appropriate.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,2,Recovered,4215.24
2026-09-04T17:50:01,TXN100062,0.533,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100063,0.154,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100064,0.641,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,4357.11
2026-09-04T17:50:01,TXN100065,0.302,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100066,0.247,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100067,0.832,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100068,0.197,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Recovered,1302.42
2026-09-04T17:50:01,TXN100069,0.813,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100070,0.784,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100071,0.569,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Recovered,3140.19
2026-09-04T17:50:01,TXN100072,0.038,Authentication failed. Customer action is required before another attempt.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:01,TXN100073,0.149,Authentication failed. Customer action is required before another attempt.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:01,TXN100074,0.04,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100075,0.16,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:01,TXN100076,0.85,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100077,0.096,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:01,TXN100078,0.512,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,5504.65
2026-09-04T17:50:01,TXN100079,0.779,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,1913.98
2026-09-04T17:50:01,TXN100080,0.13,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100081,0.191,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100082,0.78,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,5096.62
2026-09-04T17:50:01,TXN100083,0.259,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Recovered,1139.73
2026-09-04T17:50:01,TXN100084,0.587,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100085,0.619,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100086,0.312,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100087,0.416,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100088,0.356,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100089,0.78,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,7188.25
2026-09-04T17:50:01,TXN100090,0.174,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Recovered,1969.11
2026-09-04T17:50:01,TXN100091,0.587,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100092,0.271,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100093,0.301,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100094,0.306,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100095,0.454,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100096,0.403,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Not recovered,0.0
2026-09-04T17:50:01,TXN100097,0.322,Temporary network issue. A controlled retry is appropriate.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100098,0.854,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,575.23
2026-09-04T17:50:01,TXN100099,0.063,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100100,0.257,Temporary UPI/network timeout. A delayed retry may recover the payment.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,0,Recovered,664.18
2026-09-04T17:50:01,TXN100101,0.05,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100102,0.636,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,4851.78
2026-09-04T17:50:01,TXN100103,0.092,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100104,0.732,Temporary network issue. A controlled retry is appropriate.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:01,TXN100105,0.136,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100106,0.694,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,6273.08
2026-09-04T17:50:01,TXN100107,0.816,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100108,0.232,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100109,0.615,Card issuer declined the transaction. Customer may need to use another payment method.,MESSAGE,Customer should retry using the same or another payment method.,0,Recovered,1338.38
2026-09-04T17:50:01,TXN100110,0.749,Temporary network issue. A controlled retry is appropriate.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,4487.61
2026-09-04T17:50:01,TXN100111,0.808,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Recovered,2585.24
2026-09-04T17:50:01,TXN100112,0.179,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100113,0.828,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,1,Not recovered,0.0
2026-09-04T17:50:01,TXN100114,0.126,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100115,0.536,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100116,0.202,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:01,TXN100117,0.806,Temporary bank-side timeout. A controlled retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Recovered,2960.42
2026-09-04T17:50:02,TXN100118,0.078,Authentication failed. Customer action is required before another attempt.,MESSAGE,Customer authentication is required.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100119,0.206,Card issuer declined the transaction. Customer may need to use another payment method.,STOP,Low recovery probability for the current payment attempt.,0,Not recovered,0.0
2026-09-04T17:50:02,TXN100120,0.363,Temporary UPI/network timeout. A delayed retry may recover the payment.,MESSAGE,Technical failure has moderate recovery potential; customer notification is safer.,2,Not recovered,0.0
2026-09-04T17:50:02,TXN100121,0.853,Temporary bank-side timeout. A controlled retry may recover the payment.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100122,0.058,Customer may not have sufficient funds. Customer notification is preferable to repeated retries.,MESSAGE,Customer should resolve the balance before another payment attempt.,2,Not recovered,0.0
2026-09-04T17:50:02,TXN100123,0.616,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,2,Recovered,1827.88
2026-09-04T17:50:02,TXN100124,0.7,Card issuer declined the transaction. Customer may need to use another payment method.,MESSAGE,Customer should retry using the same or another payment method.,0,Recovered,3572.67
2026-09-04T17:50:02,TXN100125,0.116,Authentication failed. Customer action is required before another attempt.,STOP,Maximum retry limit reached.,3,Not recovered,0.0
2026-09-04T17:50:02,TXN100126,0.859,Temporary UPI/network timeout. A delayed retry may recover the payment.,RETRY,Temporary technical failure with reasonable recovery probability.,0,Not recovered,0.0
