transaction_id,amount,payment_method,failure_reason,previous_attempts,customer_successful_payments,customer_failed_payments,hours_since_failure,recovery_probability_true,recovered,recovery_status
TXN100000,5742.57,UPI,upi_timeout,2,19,5,55.2,0.465,1,Recovered
TXN100001,14270.52,Card,card_declined,0,0,2,29.3,0.304,1,Recovered
TXN100002,11033.24,NetBanking,upi_timeout,1,19,2,63.4,0.57,1,Recovered
TXN100003,9059.74,Card,authentication_failed,1,8,2,46.7,0.09,0,Unrecovered
TXN100004,2508.23,NetBanking,insufficient_funds,0,14,5,64.8,0.225,0,Unrecovered
TXN100005,2507.87,Card,authentication_failed,0,0,4,44.9,0.05,0,Unrecovered
TXN100006,1058.7,Card,insufficient_funds,1,11,2,9.5,0.338,1,Recovered
TXN100007,13019.27,NetBanking,bank_timeout,1,2,1,22.4,0.513,0,Unrecovered
TXN100008,9096.1,UPI,network_error,0,10,0,14.6,0.827,1,Recovered
TXN100009,10679.18,Card,authentication_failed,1,1,4,65.4,0.05,0,Unrecovered
TXN100010,503.67,UPI,upi_timeout,0,15,0,54.8,0.75,1,Recovered
TXN100011,14554.64,Wallet,bank_timeout,1,8,2,48.7,0.49,0,Unrecovered
TXN100012,12519.98,Wallet,network_error,0,14,4,21.7,0.691,1,Recovered
TXN100013,3341.83,UPI,upi_timeout,2,11,3,13.3,0.614,0,Unrecovered
TXN100014,2890.19,Card,card_declined,0,0,1,54.5,0.325,1,Recovered
TXN100015,2913.57,Wallet,upi_timeout,0,12,2,34.2,0.709,1,Recovered
TXN100016,4702.09,UPI,insufficient_funds,0,13,2,16.3,0.414,1,Recovered
TXN100017,7965.92,Card,insufficient_funds,0,7,1,44.4,0.23,0,Unrecovered
TXN100018,6592.22,Wallet,card_declined,1,7,1,3.0,0.535,1,Recovered
TXN100019,4509.48,UPI,bank_timeout,0,11,3,23.6,0.722,1,Recovered
TXN100020,9255.03,Card,network_error,2,0,2,33.8,0.371,0,Unrecovered
TXN100021,2263.65,UPI,upi_timeout,0,10,5,10.7,0.722,1,Recovered
TXN100022,4523.03,Wallet,insufficient_funds,0,7,2,70.9,0.205,0,Unrecovered
TXN100023,5621.52,Wallet,bank_timeout,0,9,0,15.1,0.81,1,Recovered
TXN100024,6949.29,Wallet,card_declined,0,18,4,9.5,0.602,0,Unrecovered
TXN100025,11820.39,Card,authentication_failed,0,10,4,14.7,0.227,0,Unrecovered
TXN100026,3154.37,NetBanking,insufficient_funds,0,6,0,55.4,0.24,0,Unrecovered
TXN100027,7810.18,NetBanking,card_declined,1,10,4,30.7,0.367,0,Unrecovered
TXN100028,8967.33,UPI,upi_timeout,0,16,1,40.8,0.725,1,Recovered
TXN100029,886.51,NetBanking,network_error,1,0,4,1.6,0.562,1,Recovered
TXN100030,9191.27,UPI,insufficient_funds,1,7,4,2.6,0.262,1,Recovered
TXN100031,2722.93,Card,insufficient_funds,0,5,0,32.2,0.264,0,Unrecovered
TXN100032,1161.83,UPI,upi_timeout,1,17,3,58.8,0.595,1,Recovered
TXN100033,14243.45,UPI,authentication_failed,3,5,4,63.7,0.05,0,Unrecovered
TXN100034,14491.32,UPI,bank_timeout,1,4,5,6.3,0.524,1,Recovered
TXN100035,12164.09,Card,network_error,1,12,4,38.8,0.506,1,Recovered
TXN100036,4707.59,UPI,insufficient_funds,0,18,3,65.8,0.275,0,Unrecovered
TXN100037,1644.64,Card,network_error,2,7,0,28.0,0.555,0,Unrecovered
